year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2024,"Priester, Quinn",93.1,SI,Sinker
2024,"Farmer, Buck",86.8,CH,Changeup
2024,"Myers, Tobias",81.1,CH,Changeup
2024,"Salazar, Eduardo",94.4,SI,Sinker
2024,"Duran, Jhoan",86.1,CU,Curveball
2024,"Wilson, Bryse",93.6,FF,4-Seam Fastball
2024,"Pallante, Andre",79.5,CU,Curveball
2024,"Daniel, Davis",91.5,FF,4-Seam Fastball
2024,"Suarez, José",82.9,CH,Changeup
2024,"López, Reynaldo",77,CU,Curveball
2024,"Allen, Logan",85.3,FC,Cutter
2024,"Otañez, Michel",98,FF,4-Seam Fastball
2024,"Cole, Gerrit",91.4,FC,Cutter
2024,"Tonkin, Michael",92.5,SI,Sinker
2024,"Crawford, Kutter",82.4,FS,Split-Finger
2024,"Schwellenbach, Spencer",84.5,FS,Split-Finger
2024,"Walker, Taijuan",85.1,ST,Sweeper
2024,"Kirby, George",83.3,CU,Curveball
2024,"Sears, JP",79.3,SL,Slider
2024,"Maton, Phil",80.9,ST,Sweeper
2024,"Hodge, Porter",83,ST,Sweeper
2024,"Schreiber, John",81.1,ST,Sweeper
2024,"Smith, Cade",88.5,FS,Split-Finger
2024,"Jarvis, Bryce",86.4,SL,Slider
2024,"Pressly, Ryan",82.4,CU,Curveball
2024,"Wacha, Michael",84.1,SL,Slider
2024,"Springs, Jeffrey",89.8,FF,4-Seam Fastball
2024,"Fulmer, Carson",88,SL,Slider
2024,"Gausman, Kevin",82.7,SL,Slider
2024,"Kelly, Merrill",88.4,CH,Changeup
2024,"Martin, Davis",83.6,SL,Slider
2024,"Stripling, Ross",82.7,CH,Changeup
2024,"Gibson, Kyle",78.3,CU,Curveball
2024,"Henry, Tommy",89.8,FF,4-Seam Fastball
2024,"Moll, Sam",93.3,FF,4-Seam Fastball
2024,"Wood, Alex",81.4,SL,Slider
2024,"Farmer, Buck",92.7,FF,4-Seam Fastball
2024,"Nelson, Ryne",83,CH,Changeup
2024,"Slaten, Justin",96.4,FF,4-Seam Fastball
2024,"Estrada, Jeremiah",89.8,SL,Slider
2024,"King, John",84.4,CH,Changeup
2024,"Irvin, Cole",84.9,CH,Changeup
2024,"Parker, Mitchell",84.5,SL,Slider
2024,"Blackburn, Paul",91.9,FF,4-Seam Fastball
2024,"Molina, Anthony",85.3,CH,Changeup
2024,"Ruiz, José",96.4,FF,4-Seam Fastball
